Beruf,Berufsgruppe,Konfidenz
"Baumeister, Hoch- u. Tiefbaugeschäft",industrie,auto
Baumschule,sonstige,auto
Baunschreinerei,industrie,auto
Baupol. Ober Inspektor,verwaltung,auto
Baupol. Ober Inspektor a. D.,verwaltung,auto
Baupol. Ober Inspektor i. R.,verwaltung,auto
Baupol. Serg.,sonstige,auto
Baupolizei Ober Inspektor a. D.,verwaltung,auto
Bauprakt.,sonstige,auto
Baupraktik.,sonstige,auto
Baupraktikant,sonstige,auto
Baurat,sonstige,auto
Baureparaturen,sonstige,auto
Bauschloss.,sonstige,auto
Bauschlosser,sonstige,auto
Bauschlosserei,sonstige,auto
Bauschlossereo,sonstige,auto
Bauschreiber,sonstige,auto
Bauschrein.,sonstige,auto
Bauschreiner,industrie,auto
Bauschreinerei,industrie,auto
Baust.,sonstige,auto
Baustoff-Vertretungen,sonstige,auto
Baustoffe,sonstige,auto
Baustoffe u. Kohlengroßhdlg.,sonstige,auto
Baustoffhdl.,sonstige,auto
Bautechn,sonstige,auto
Bautechnik.,sonstige,auto
Bautechniker,industrie,auto
Bautenschutz,sonstige,auto
Bauuntern.,sonstige,auto
Bauunternehmer,handel,auto
Bauunternehmer für Hoch- und Tiefbau,handel,auto
Bauunternehmg.,sonstige,auto
Bauunternehmung,sonstige,auto
Bauunternhem.,sonstige,auto
Bauzeichner,industrie,auto
"Bayrischer Hof, Kaffee-, Bier- und Weinrestaurant",sonstige,auto
Beamtenanw.,sonstige,auto
Beamtenanwärt.,sonstige,auto
Beamter,verwaltung,auto
Beamter Anwärter,verwaltung,auto
Beamter a. D.,verwaltung,auto
Beamter i. R.,verwaltung,auto
Beamtin,verwaltung,auto
Beamtr a. D.,sonstige,auto
"Beatr., Brgm.",sonstige,auto
Bedachungsart.,sonstige,auto
Bedachungsartikel,sonstige,auto
Bedachungsgesch.,sonstige,auto
Bedachungsgeschäft,sonstige,auto
Beeid. Bücherrevisor,verwaltung,auto
Beeid. Sachverständig.,sonstige,auto
"Beeidigter Buchsachverst., Steuerberater u. Wirtschaftstreuhänder",verwaltung,auto
Beerdigungs-Anst.,sonstige,auto
Beerdigungsanst.,sonstige,auto
Beerdigungsanstalt,sonstige,auto
"Beerdigungsanstalt ""Palme"", Sargmagazin",sonstige,auto
Beerdigungsinst.,sonstige,auto
Beerdigungsinstitut,sonstige,auto
Beerdigungswesen,sonstige,auto
Befgm.,sonstige,auto
Begleiter,sonstige,auto
Beh. Angestellter,verwaltung,auto
Behörd. Angestellter,verwaltung,auto
Beifahrer,verkehr,auto
"Beigeordn. a. D., Syndikus",akademisch,auto
Beigeordn. i. R.,sonstige,auto
Beigeordneter,sonstige,auto
Beigeordneter a. D.,sonstige,auto
"Beigeordneter a. D., Stadtbaurat",sonstige,auto
Beigeordneter i. R.,sonstige,auto
"Beiz- und Poliererei, Möbeltischlerei",sonstige,auto
"Beiz- und Polierwerkstatt, Möbelschreinerei",industrie,auto
Beiz.,sonstige,auto
